생년월일,목,화,토,금,수
193036,3,1,1,1,0
193037,1,2,2,1,0
193038,1,3,1,1,0
193039,1,2,2,1,0
1930310,1,1,3,1,0
1930311,1,1,1,3,0
1930312,1,1,1,3,0
1930313,1,1,2,1,1
1930314,1,1,1,1,2
1930315,2,1,1,1,1
1930316,2,1,2,1,0
1930317,2,2,1,1,0
1930318,2,2,1,1,0
1930319,1,1,3,1,0
1930320,1,2,2,1,0
1930321,1,2,1,2,0
1930322,1,1,2,2,0
1930323,1,1,1,2,1
1930324,1,1,1,2,1
1930325,2,1,2,1,0
1930326,2,1,1,1,1
1930327,1,2,1,1,1
1930328,1,2,2,1,0
1930329,2,1,2,1,0
1930330,2,1,2,1,0
193041,1,2,1,2,0
193042,1,2,1,1,1
193043,1,1,2,1,1
193044,2,1,1,2,0
193045,2,1,1,2,0
193046,0,2,2,2,0
193047,0,2,1,2,1
193048,0,1,2,2,1
193049,0,1,3,2,0
1930410,1,1,1,3,0
1930411,1,1,1,3,0
1930412,0,1,2,2,1
1930413,0,2,1,2,1
1930414,1,2,1,2,0
1930415,1,1,2,2,0
1930416,0,2,1,3,0
1930417,0,2,1,3,0
1930418,0,1,3,2,0
1930419,0,1,2,2,1
1930420,0,1,1,3,1
1930421,0,1,2,3,0
1930422,1,1,1,2,1
1930423,1,1,1,2,1
1930424,1,1,2,2,0
1930425,1,2,1,2,0
1930426,0,3,1,2,0
1930427,0,2,2,2,0
1930428,0,1,2,3,0
1930429,0,1,2,3,0
1930430,0,1,2,3,0
193051,0,1,1,3,1
193052,0,1,1,2,2
193053,0,1,2,2,1
193054,2,1,1,2,0
193055,2,1,1,2,0
193056,0,2,2,2,0
193057,0,4,0,2,0
193058,0,3,1,2,0
193059,0,2,2,2,0
1930510,0,2,0,4,0
1930511,0,2,0,4,0
1930512,0,2,1,2,1
1930513,0,2,0,2,2
1930514,1,2,0,2,1
1930515,1,2,1,2,0
1930516,1,3,0,2,0
1930517,1,3,0,2,0
1930518,0,2,2,2,0
1930519,0,3,1,2,0
1930520,0,3,0,3,0
1930521,0,2,1,3,0
1930522,0,2,0,3,1
1930523,0,2,0,3,1
1930524,1,2,1,2,0
1930525,1,2,0,2,1
1930526,0,3,0,2,1
1930527,0,3,1,2,0
1930528,1,2,1,2,0
1930529,1,2,1,2,0
1930530,0,2,1,3,0
193061,0,3,0,2,1
193062,0,2,1,2,1
193063,1,2,0,3,0
193064,1,2,0,3,0
193065,0,3,1,2,0
193066,0,3,0,2,1
193067,0,2,1,1,2
193068,0,2,2,1,1
193069,1,2,0,2,1
1930610,1,2,0,2,1
1930611,0,2,1,1,2
1930612,0,3,0,1,2
1930613,1,3,0,1,1
1930614,1,2,1,1,1
1930615,0,3,0,2,1
1930616,0,3,0,2,1
1930617,0,2,2,1,1
1930618,0,2,1,1,2
1930619,0,2,0,2,2
1930620,0,2,1,2,1
1930621,1,2,0,1,2
1930622,1,2,0,1,2
1930623,1,2,1,1,1
1930624,1,3,0,1,1
1930625,0,4,0,1,1
1930626,0,3,1,1,1
1930627,0,2,1,2,1
1930628,0,2,1,2,1
1930629,0,2,1,2,1
1930630,0,2,0,2,2
193071,0,2,0,1,3
193072,0,2,1,1,2
193073,2,2,0,1,1
193074,2,2,0,1,1
193075,0,3,1,1,1
193076,0,4,0,1,1
193077,0,3,1,1,1
193078,0,2,2,1,1
193079,0,1,1,3,1
1930710,0,1,1,3,1
1930711,0,1,2,1,2
1930712,0,1,1,1,3
1930713,1,1,1,1,2
1930714,1,1,2,1,1
1930715,1,2,1,1,1
1930716,1,2,1,1,1
1930717,0,1,3,1,1
1930718,0,2,2,1,1
1930719,0,2,1,2,1
1930720,0,1,2,2,1
1930721,0,1,1,2,2
1930722,0,1,1,2,2
1930723,1,1,2,1,1
1930724,1,1,1,1,2
1930725,0,2,1,1,2
1930726,0,2,2,1,1
1930727,1,1,2,1,1
1930728,1,1,2,1,1
1930729,0,1,2,2,1
1930730,0,2,1,2,1
193081,0,1,2,1,2
193082,1,1,1,2,1
193083,1,1,1,2,1
193084,0,2,2,1,1
193085,0,2,1,1,2
193086,0,1,2,1,2
193087,0,1,3,1,1
193088,1,1,1,2,1
193089,2,1,0,3,0
1930810,1,1,1,2,1
1930811,1,2,0,2,1
1930812,2,2,0,2,0
1930813,2,1,1,2,0
1930814,1,2,0,3,0
1930815,1,2,0,3,0
1930816,1,1,2,2,0
1930817,1,1,1,2,1
1930818,1,1,0,3,1
1930819,1,1,1,3,0
1930820,2,1,0,2,1
1930821,2,1,0,2,1
1930822,2,1,1,2,0
1930823,2,2,0,2,0
1930824,1,3,0,2,0
1930825,1,2,1,2,0
1930826,1,1,1,3,0
1930827,1,1,1,3,0
1930828,1,1,1,3,0
1930829,1,1,0,3,1
1930830,1,1,0,2,2
193091,3,1,0,2,0
193092,3,1,0,2,0
193093,1,2,1,2,0
193094,1,3,0,2,0
193095,1,2,1,2,0
193096,1,1,2,2,0
193097,1,1,0,4,0
193098,1,1,0,4,0
193099,1,1,1,2,1
1930910,1,1,0,2,2
1930911,2,1,0,2,1
1930912,2,1,1,2,0
1930913,2,2,0,2,0
1930914,2,2,0,2,0
1930915,1,1,2,2,0
1930916,1,2,1,2,0
1930917,1,2,0,3,0
1930918,1,1,1,3,0
1930919,1,1,0,3,1
1930920,1,1,0,3,1
1930921,2,1,1,2,0
1930922,2,1,0,2,1
1930923,1,2,0,2,1
1930924,1,2,1,2,0
1930925,2,1,1,2,0
1930926,2,1,1,2,0
1930927,1,1,1,3,0
1930928,1,2,0,3,0
1930929,1,2,0,2,1
1930930,1,1,1,2,1
1930101,2,1,0,3,0
1930102,2,1,0,3,0
1930103,1,2,1,2,0
1930104,1,2,0,2,1
1930105,1,1,1,2,1
1930106,1,1,2,2,0
1930107,2,1,0,3,0
1930108,2,1,0,3,0
1930109,1,1,1,2,1
19301010,0,3,1,1,1
19301011,1,3,1,1,0
19301012,1,2,2,1,0
19301013,0,3,1,2,0
19301014,0,3,1,2,0
19301015,0,2,3,1,0
19301016,0,2,2,1,1
19301017,0,2,1,2,1
19301018,0,2,2,2,0
19301019,1,2,1,1,1
19301020,1,2,1,1,1
19301021,1,2,2,1,0
19301022,1,3,1,1,0
19301023,0,4,1,1,0
19301024,0,3,2,1,0
19301025,0,2,2,2,0
19301026,0,2,2,2,0
19301027,0,2,2,2,0
19301028,0,2,1,2,1
19301029,0,2,1,1,2
19301030,0,2,2,1,1
1930111,2,2,1,1,0
1930112,0,3,2,1,0
1930113,0,4,1,1,0
1930114,0,3,2,1,0
1930115,0,2,3,1,0
1930116,0,2,1,3,0
1930117,0,2,1,3,0
1930118,0,2,2,1,1
1930119,0,2,0,1,3
19301110,1,2,0,1,2
19301111,1,2,1,1,1
19301112,1,3,0,1,1
19301113,1,3,0,1,1
19301114,0,2,2,1,1
19301115,0,3,1,1,1
19301116,0,3,0,2,1
19301117,0,2,1,2,1
19301118,0,2,0,2,2
19301119,0,2,0,2,2
19301120,1,2,1,1,1
19301121,1,2,0,1,2
19301122,0,3,0,1,2
19301123,0,3,1,1,1
19301124,1,2,1,1,1
19301125,1,2,1,1,1
19301126,0,2,1,2,1
19301127,0,3,0,2,1
19301128,0,3,0,1,2
19301129,0,2,1,1,2
19301130,1,2,0,2,1
1930121,1,2,0,2,1
1930122,0,3,1,1,1
1930123,0,3,0,1,2
1930124,0,2,1,1,2
1930125,0,2,2,1,1
1930126,1,2,0,2,1
1930127,1,2,0,2,1
1930128,0,2,1,1,2
1930129,0,2,1,1,2
19301210,1,2,1,1,1
19301211,1,1,2,1,1
19301212,0,2,1,2,1
19301213,0,2,1,2,1
19301214,0,1,3,1,1
19301215,0,1,2,1,2
19301216,0,1,1,2,2
19301217,0,1,2,2,1
19301218,1,1,1,1,2
19301219,1,1,1,1,2
19301220,1,1,2,1,1
19301221,1,2,1,1,1
19301222,0,3,1,1,1
19301223,0,2,2,1,1
19301224,0,1,2,2,1
19301225,0,1,2,2,1
19301226,0,1,2,2,1
19301227,0,1,1,2,2
19301228,0,1,1,1,3
19301229,0,1,2,1,2
19301230,2,1,1,1,1
193111,0,2,2,1,1
193112,0,3,1,1,1
193113,0,2,2,1,1
193114,0,1,3,1,1
193115,0,1,1,3,1
193116,0,1,1,3,1
193117,0,1,3,1,1
193118,0,1,2,1,2
193119,1,1,2,1,1
1931110,1,1,3,1,0
1931111,1,2,2,1,0
1931112,1,2,2,1,0
1931113,0,1,4,1,0
1931114,0,2,3,1,0
1931115,0,2,2,2,0
1931116,0,1,3,2,0
1931117,0,1,2,2,1
1931118,0,1,2,2,1
1931119,1,1,3,1,0
1931120,1,1,2,1,1
1931121,0,2,2,1,1
1931122,0,2,3,1,0
1931123,1,1,3,1,0
1931124,1,1,3,1,0
1931125,0,1,3,2,0
1931126,0,2,2,2,0
1931127,0,2,2,1,1
1931128,0,1,3,1,1
1931129,1,1,2,2,0
1931130,1,1,2,2,0
193121,0,2,2,1,1
193122,0,1,3,1,1
193123,0,1,4,1,0
193124,1,1,2,2,0
193125,1,1,2,2,0
193126,1,0,2,2,1
193127,1,1,1,2,1
193128,2,1,1,2,0
193129,2,0,2,2,0
1931210,1,1,1,3,0
1931211,1,1,1,3,0
1931212,1,0,3,2,0
1931213,1,0,2,2,1
1931214,1,0,1,3,1
1931215,1,0,2,3,0
1931216,2,0,1,2,1
1931217,2,0,1,2,1
1931218,2,0,2,2,0
1931219,2,1,1,2,0
1931220,1,2,1,2,0
1931221,1,1,2,2,0
1931222,1,0,2,3,0
1931223,1,0,2,3,0
1931224,1,0,2,3,0
1931225,1,0,1,3,1
1931226,1,0,1,2,2
1931227,1,0,2,2,1
1931228,3,0,1,2,0
193131,3,0,1,2,0
193132,1,1,2,2,0
193133,1,2,1,2,0
193134,1,1,2,2,0
193135,1,0,3,2,0
193136,1,0,1,4,0
193137,1,0,1,4,0
193138,1,0,2,2,1
193139,1,0,1,2,2
1931310,2,0,1,2,1
1931311,2,0,2,2,0
1931312,2,1,1,2,0
1931313,2,1,1,2,0
1931314,1,0,3,2,0
1931315,1,1,2,2,0
1931316,1,1,1,3,0
1931317,1,0,2,3,0
1931318,1,0,1,3,1
1931319,1,0,1,3,1
1931320,2,0,2,2,0
1931321,2,0,1,2,1
1931322,1,1,1,2,1
1931323,1,1,2,2,0
1931324,2,0,2,2,0
1931325,2,0,2,2,0
1931326,1,0,2,3,0
1931327,1,1,1,3,0
1931328,1,1,1,2,1
1931329,1,0,2,2,1
1931330,2,0,1,3,0
193141,1,1,2,2,0
193142,1,1,1,2,1
193143,1,0,2,2,1
193144,1,0,3,2,0
193145,2,0,1,3,0
193146,2,0,1,3,0
193147,0,0,3,1,2
193148,0,1,2,1,2
193149,1,1,2,1,1
1931410,1,0,3,1,1
1931411,0,1,2,2,1
1931412,0,1,2,2,1
1931413,0,0,4,1,1
1931414,0,0,3,1,2
1931415,0,0,2,2,2
1931416,0,0,3,2,1
1931417,1,0,2,1,2
1931418,1,0,2,1,2
1931419,1,0,3,1,1
1931420,1,1,2,1,1
1931421,0,2,2,1,1
1931422,0,1,3,1,1
1931423,0,0,3,2,1
1931424,0,0,3,2,1
1931425,0,0,3,2,1
1931426,0,0,2,2,2
1931427,0,0,2,1,3
1931428,0,0,3,1,2
1931429,2,0,2,1,1
1931430,2,0,2,1,1
193151,0,1,3,1,1
193152,0,2,2,1,1
193153,0,1,3,1,1
193154,0,0,4,1,1
193155,0,0,2,3,1
193156,0,0,2,3,1
193157,0,1,2,1,2
193158,0,1,1,1,3
193159,1,1,1,1,2
1931510,1,1,2,1,1
1931511,1,2,1,1,1
1931512,1,2,1,1,1
1931513,0,1,3,1,1
1931514,0,2,2,1,1
1931515,0,2,1,2,1
1931516,0,1,2,2,1
1931517,0,1,1,2,2
1931518,0,1,1,2,2
1931519,1,1,2,1,1
1931520,1,1,1,1,2
1931521,0,2,1,1,2
1931522,0,2,2,1,1
1931523,1,1,2,1,1
1931524,1,1,2,1,1
1931525,0,1,2,2,1
1931526,0,2,1,2,1
1931527,0,2,1,1,2
1931528,0,1,2,1,2
1931529,1,1,1,2,1
1931530,1,1,1,2,1
193161,0,2,1,1,2
193162,0,1,2,1,2
193163,0,1,3,1,1
193164,1,1,1,2,1
193165,1,1,1,2,1
193166,1,1,2,1,1
193167,0,2,1,1,2
193168,2,2,1,1,0
193169,2,1,2,1,0
1931610,1,2,1,2,0
1931611,1,2,1,2,0
1931612,1,1,3,1,0
1931613,1,1,2,1,1
1931614,1,1,1,2,1
1931615,1,1,2,2,0
1931616,2,1,1,1,1
1931617,2,1,1,1,1
1931618,2,1,2,1,0
1931619,2,2,1,1,0
1931620,1,3,1,1,0
1931621,1,2,2,1,0
1931622,1,1,2,2,0
1931623,1,1,2,2,0
1931624,1,1,2,2,0
1931625,1,1,1,2,1
1931626,1,1,1,1,2
1931627,1,1,2,1,1
1931628,3,1,1,1,0
1931629,3,1,1,1,0
1931630,1,2,2,1,0
193171,1,3,1,1,0
193172,1,2,2,1,0
193173,1,1,3,1,0
193174,1,1,1,3,0
193175,1,1,1,3,0
193176,1,1,2,1,1
193177,1,1,1,1,2
193178,2,1,1,1,1
193179,2,0,3,1,0
1931710,2,1,2,1,0
1931711,2,1,2,1,0
1931712,1,0,4,1,0
1931713,1,1,3,1,0
1931714,1,1,2,2,0
1931715,1,0,3,2,0
1931716,1,0,2,2,1
1931717,1,0,2,2,1
1931718,2,0,3,1,0
1931719,2,0,2,1,1
1931720,1,1,2,1,1
1931721,1,1,3,1,0
1931722,2,0,3,1,0
1931723,2,0,3,1,0
1931724,1,0,3,2,0
1931725,1,1,2,2,0
1931726,1,1,2,1,1
1931727,1,0,3,1,1
1931728,2,0,2,2,0
1931729,2,0,2,2,0
1931730,1,1,3,1,0
193181,1,0,3,1,1
193182,1,0,4,1,0
193183,2,0,2,2,0
193184,2,0,2,2,0
193185,1,0,3,1,1
193186,1,1,2,1,1
193187,2,1,2,1,0
193188,2,0,3,1,0
193189,0,2,1,3,0
1931810,0,2,1,3,0
1931811,0,1,3,2,0
1931812,0,1,2,2,1
1931813,0,1,1,3,1
1931814,0,1,2,3,0
1931815,1,1,1,2,1
1931816,1,1,1,2,1
1931817,1,1,2,2,0
1931818,1,2,1,2,0
1931819,0,3,1,2,0
1931820,0,2,2,2,0
1931821,0,1,2,3,0
1931822,0,1,2,3,0
1931823,0,1,2,3,0
1931824,0,1,1,3,1
1931825,0,1,1,2,2
1931826,0,1,2,2,1
1931827,2,1,1,2,0
1931828,2,1,1,2,0
1931829,0,2,2,2,0
1931830,0,3,1,2,0
193191,0,1,3,2,0
193192,0,1,1,4,0
193193,0,1,1,4,0
193194,0,1,2,2,1
193195,0,1,1,2,2
193196,1,1,1,2,1
193197,1,1,2,2,0
193198,1,2,1,2,0
193199,1,2,1,2,0
1931910,0,1,3,2,0
1931911,0,2,2,2,0
1931912,0,2,1,3,0
1931913,0,1,2,3,0
1931914,0,1,1,3,1
1931915,0,1,1,3,1
1931916,1,1,2,2,0
1931917,1,1,1,2,1
1931918,0,2,1,2,1
1931919,0,2,2,2,0
1931920,1,1,2,2,0
1931921,1,1,2,2,0
1931922,0,1,2,3,0
1931923,0,2,1,3,0
1931924,0,2,1,2,1
1931925,0,1,2,2,1
1931926,1,1,1,3,0
1931927,1,1,1,3,0
1931928,0,2,2,2,0
1931929,0,2,1,2,1
1931930,0,1,2,2,1
1931101,0,1,3,2,0
1931102,1,1,1,3,0
1931103,1,1,1,3,0
1931104,0,1,2,2,1
1931105,0,2,1,2,1
1931106,1,2,1,2,0
1931107,1,1,2,2,0
1931108,0,2,1,3,0
1931109,0,2,1,3,0
19311010,0,0,5,1,0
19311011,0,0,4,1,1
19311012,0,0,3,2,1
19311013,0,0,4,2,0
19311014,1,0,3,1,1
19311015,1,0,3,1,1
19311016,1,0,4,1,0
19311017,1,1,3,1,0
19311018,0,2,3,1,0
19311019,0,1,4,1,0
19311020,0,0,4,2,0
19311021,0,0,4,2,0
19311022,0,0,4,2,0
19311023,0,0,3,2,1
19311024,0,0,3,1,2
19311025,0,0,4,1,1
19311026,2,0,3,1,0
19311027,2,0,3,1,0
19311028,0,1,4,1,0
19311029,0,2,3,1,0
19311030,0,1,4,1,0
1931111,0,0,3,3,0
1931112,0,0,3,3,0
1931113,0,0,4,1,1
1931114,0,0,3,1,2
1931115,1,0,3,1,1
1931116,1,0,4,1,0
1931117,1,1,3,1,0
1931118,1,1,3,1,0
1931119,0,0,4,1,1
19311110,0,1,3,1,1
19311111,0,1,2,2,1
19311112,0,0,3,2,1
19311113,0,0,2,2,2
19311114,0,0,2,2,2
19311115,1,0,3,1,1
19311116,1,0,2,1,2
19311117,0,1,2,1,2
19311118,0,1,3,1,1
19311119,1,0,3,1,1
19311120,1,0,3,1,1
19311121,0,0,3,2,1
19311122,0,1,2,2,1
19311123,0,1,2,1,2
19311124,0,0,3,1,2
19311125,1,0,2,2,1
19311126,1,0,2,2,1
19311127,0,1,3,1,1
19311128,0,1,2,1,2
19311129,0,0,3,1,2
19311130,0,0,4,1,1
1931121,1,0,2,2,1
1931122,1,0,2,2,1
1931123,0,0,3,1,2
1931124,0,1,2,1,2
1931125,1,1,2,1,1
1931126,1,0,3,1,1
1931127,0,1,2,2,1
1931128,0,1,2,2,1
1931129,0,0,3,2,1
19311210,0,0,2,2,2
19311211,0,0,1,3,2
19311212,0,0,2,3,1
19311213,1,0,1,2,2
19311214,1,0,1,2,2
19311215,1,0,2,2,1
19311216,1,1,1,2,1
19311217,0,2,1,2,1
19311218,0,1,2,2,1
19311219,0,0,2,3,1
19311220,0,0,2,3,1
19311221,0,0,2,3,1
19311222,0,0,1,3,2
19311223,0,0,1,2,3
19311224,0,0,2,2,2
19311225,2,0,1,2,1
19311226,2,0,1,2,1
19311227,0,1,2,2,1
19311228,0,2,1,2,1
19311229,0,1,2,2,1
19311230,0,0,3,2,1
193211,0,0,1,4,1
193212,0,0,2,2,2
193213,0,0,1,2,3
193214,1,0,1,2,2
193215,1,0,2,2,1
193216,1,1,1,2,1
193217,1,1,2,2,0
193218,0,0,4,2,0
193219,0,1,3,2,0
1932110,0,1,2,3,0
1932111,0,0,3,3,0
1932112,0,0,2,3,1
1932113,0,0,2,3,1
1932114,1,0,3,2,0
1932115,1,0,2,2,1
1932116,0,1,2,2,1
1932117,0,1,3,2,0
1932118,1,0,3,2,0
1932119,1,0,3,2,0
1932120,0,0,3,3,0
1932121,0,1,2,3,0
1932122,0,1,2,2,1
1932123,0,0,3,2,1
1932124,1,0,2,3,0
1932125,1,0,2,3,0
1932126,0,1,3,2,0
1932127,0,1,2,2,1
1932128,0,0,3,2,1
1932129,0,0,4,2,0
1932130,1,0,2,3,0
193221,0,0,3,2,1
193222,0,1,2,2,1
193223,1,1,2,2,0
193224,1,0,3,2,0
193225,0,1,2,3,0
193226,1,1,0,2,2
193227,1,0,2,1,2
193228,1,0,1,1,3
193229,1,0,0,2,3
1932210,1,0,1,2,2
1932211,2,0,0,1,3
1932212,2,0,0,1,3
1932213,2,0,1,1,2
1932214,2,1,0,1,2
1932215,1,2,0,1,2
1932216,1,1,1,1,2
1932217,1,0,1,2,2
1932218,1,0,1,2,2
1932219,1,0,1,2,2
1932220,1,0,0,2,3
1932221,1,0,0,1,4
1932222,1,0,1,1,3
1932223,3,0,0,1,2
1932224,3,0,0,1,2
1932225,1,1,1,1,2
1932226,1,2,0,1,2
1932227,1,1,1,1,2
1932228,1,0,2,1,2
1932229,1,0,0,3,2
193231,1,0,0,3,2
193232,1,0,1,1,3
193233,1,0,0,1,4
193234,2,0,0,1,3
193235,2,0,1,1,2
193236,2,1,0,1,2
193237,2,1,0,1,2
193238,1,0,2,1,2
193239,1,1,1,1,2
1932310,1,1,0,2,2
1932311,1,0,1,2,2
1932312,1,0,0,2,3
1932313,1,0,0,2,3
1932314,2,0,1,1,2
1932315,2,0,0,1,3
1932316,1,1,0,1,3
1932317,1,1,1,1,2
1932318,2,0,1,1,2
1932319,2,0,1,1,2
1932320,1,0,1,2,2
1932321,1,1,0,2,2
1932322,1,1,0,1,3
1932323,1,0,1,1,3
1932324,2,0,0,2,2
1932325,2,0,0,2,2
1932326,1,1,1,1,2
1932327,1,1,0,1,3
1932328,1,0,1,1,3
1932329,1,0,2,1,2
1932330,2,0,0,2,2
193241,1,0,1,1,3
193242,1,1,0,1,3
193243,2,1,0,1,2
193244,2,0,1,1,2
193245,1,1,0,2,2
193246,1,1,1,2,1
193247,1,0,3,1,1
193248,1,0,2,1,2
193249,1,0,1,2,2
1932410,1,0,2,2,1
1932411,2,0,1,1,2
1932412,2,0,1,1,2
1932413,2,0,2,1,1
1932414,2,1,1,1,1
1932415,1,2,1,1,1
1932416,1,1,2,1,1
1932417,1,0,2,2,1
1932418,1,0,2,2,1
1932419,1,0,2,2,1
1932420,1,0,1,2,2
1932421,1,0,1,1,3
1932422,1,0,2,1,2
1932423,3,0,1,1,1
1932424,3,0,1,1,1
1932425,1,1,2,1,1
1932426,1,2,1,1,1
1932427,1,1,2,1,1
1932428,1,0,3,1,1
1932429,1,0,1,3,1
1932430,1,0,1,3,1
193251,1,0,2,1,2
193252,1,0,1,1,3
193253,2,0,1,1,2
193254,2,0,2,1,1
193255,2,1,1,1,1
193256,2,1,1,1,1
193257,1,1,2,1,1
193258,1,2,1,1,1
193259,1,2,0,2,1
1932510,1,1,1,2,1
1932511,1,1,0,2,2
1932512,1,1,0,2,2
1932513,2,1,1,1,1
1932514,2,1,0,1,2
1932515,1,2,0,1,2
1932516,1,2,1,1,1
1932517,2,1,1,1,1
1932518,2,1,1,1,1
1932519,1,1,1,2,1
1932520,1,2,0,2,1
1932521,1,2,0,1,2
1932522,1,1,1,1,2
1932523,2,1,0,2,1
1932524,2,1,0,2,1
1932525,1,2,1,1,1
1932526,1,2,0,1,2
1932527,1,1,1,1,2
1932528,1,1,2,1,1
1932529,2,1,0,2,1
1932530,2,1,0,2,1
193261,1,2,0,1,2
193262,2,2,0,1,1
193263,2,1,1,1,1
193264,1,2,0,2,1
193265,1,2,0,2,1
193266,1,1,2,1,1
193267,0,2,1,1,2
193268,0,2,0,2,2
193269,0,2,1,2,1
1932610,1,2,0,1,2
1932611,1,2,0,1,2
1932612,1,2,1,1,1
1932613,1,3,0,1,1
1932614,0,4,0,1,1
1932615,0,3,1,1,1
1932616,0,2,1,2,1
1932617,0,2,1,2,1
1932618,0,2,1,2,1
1932619,0,2,0,2,2
1932620,0,2,0,1,3
1932621,0,2,1,1,2
1932622,2,2,0,1,1
1932623,2,2,0,1,1
1932624,0,3,1,1,1
1932625,0,4,0,1,1
1932626,0,3,1,1,1
1932627,0,2,2,1,1
1932628,0,2,0,3,1
1932629,0,2,0,3,1
1932630,0,2,1,1,2
193271,0,2,0,1,3
193272,1,2,0,1,2
193273,1,2,1,1,1
193274,1,3,0,1,1
193275,1,3,0,1,1
193276,0,2,2,1,1
193277,0,3,1,1,1
193278,0,2,1,2,1
193279,0,1,2,2,1
1932710,0,1,1,2,2
1932711,0,1,1,2,2
1932712,1,1,2,1,1
1932713,1,1,1,1,2
1932714,0,2,1,1,2
1932715,0,2,2,1,1
1932716,1,1,2,1,1
1932717,1,1,2,1,1
1932718,0,1,2,2,1
1932719,0,2,1,2,1
1932720,0,2,1,1,2
1932721,0,1,2,1,2
1932722,1,1,1,2,1
1932723,1,1,1,2,1
1932724,0,2,2,1,1
1932725,0,2,1,1,2
1932726,0,1,2,1,2
1932727,0,1,3,1,1
1932728,1,1,1,2,1
1932729,1,1,1,2,1
1932730,0,1,2,1,2
193281,1,2,1,1,1
193282,1,1,2,1,1
193283,0,2,1,2,1
193284,0,2,1,2,1
193285,0,1,3,1,1
193286,0,1,2,1,2
193287,0,1,1,2,2
193288,0,1,2,2,1
193289,1,0,1,2,2
1932810,1,0,1,2,2
1932811,1,0,2,2,1
1932812,1,1,1,2,1
1932813,0,2,1,2,1
1932814,0,1,2,2,1
1932815,0,0,2,3,1
1932816,0,0,2,3,1
1932817,0,0,2,3,1
1932818,0,0,1,3,2
1932819,0,0,1,2,3
1932820,0,0,2,2,2
1932821,2,0,1,2,1
1932822,2,0,1,2,1
1932823,0,1,2,2,1
1932824,0,2,1,2,1
1932825,0,1,2,2,1
1932826,0,0,3,2,1
1932827,0,0,1,4,1
1932828,0,0,1,4,1
1932829,0,0,2,2,2
1932830,0,0,1,2,3
193291,1,0,2,2,1
193292,1,1,1,2,1
193293,1,1,1,2,1
193294,0,0,3,2,1
193295,0,1,2,2,1
193296,0,1,1,3,1
193297,0,0,2,3,1
193298,0,0,1,3,2
193299,0,0,1,3,2
1932910,1,0,2,2,1
1932911,1,0,1,2,2
1932912,0,1,1,2,2
1932913,0,1,2,2,1
1932914,1,0,2,2,1
1932915,1,0,2,2,1
1932916,0,0,2,3,1
1932917,0,1,1,3,1
1932918,0,1,1,2,2
1932919,0,0,2,2,2
1932920,1,0,1,3,1
1932921,1,0,1,3,1
1932922,0,1,2,2,1
1932923,0,1,1,2,2
1932924,0,0,2,2,2
1932925,0,0,3,2,1
1932926,1,0,1,3,1
1932927,1,0,1,3,1
1932928,0,0,2,2,2
1932929,0,1,1,2,2
1932930,1,1,1,2,1
1932101,1,0,2,2,1
1932102,0,1,1,3,1
1932103,0,1,1,3,1
1932104,0,0,3,2,1
1932105,0,0,2,2,2
1932106,0,0,1,3,2
1932107,0,0,2,3,1
1932108,1,0,1,2,2
1932109,1,0,1,2,2
19321010,1,0,2,2,1
19321011,1,1,1,2,1
19321012,0,2,1,2,1
19321013,0,1,2,2,1
19321014,0,0,2,3,1
19321015,0,0,2,3,1
19321016,0,0,2,3,1
19321017,0,0,1,3,2
19321018,0,0,1,2,3
19321019,0,0,2,2,2
19321020,2,0,1,2,1
19321021,2,0,1,2,1
19321022,0,1,2,2,1
19321023,0,2,1,2,1
19321024,0,1,2,2,1
19321025,0,0,3,2,1
19321026,0,0,1,4,1
19321027,0,0,1,4,1
19321028,0,0,2,2,2
19321029,0,0,1,2,3
19321030,1,0,1,2,2
1932111,1,1,1,2,1
1932112,1,1,1,2,1
1932113,0,0,3,2,1
1932114,0,1,2,2,1
1932115,0,1,1,3,1
1932116,0,0,2,3,1
1932117,0,0,0,3,3
1932118,0,0,1,3,2
1932119,1,0,1,2,2
19321110,1,0,0,2,3
19321111,0,1,0,2,3
19321112,0,1,1,2,2
19321113,1,0,1,2,2
19321114,1,0,1,2,2
19321115,0,0,1,3,2
19321116,0,1,0,3,2
19321117,0,1,0,2,3
19321118,0,0,1,2,3
19321119,1,0,0,3,2
19321120,1,0,0,3,2
19321121,0,1,1,2,2
19321122,0,1,0,2,3
19321123,0,0,1,2,3
19321124,0,0,2,2,2
19321125,1,0,0,3,2
19321126,1,0,0,3,2
19321127,0,0,1,2,3
19321128,0,1,0,2,3
19321129,1,1,0,2,2
19321130,1,0,1,2,2
1932121,0,1,0,3,2
1932122,0,1,0,3,2
1932123,0,0,2,2,2
1932124,0,0,1,2,3
1932125,0,0,0,3,3
1932126,0,0,1,3,2
1932127,1,0,0,2,3
1932128,1,0,0,1,4
1932129,1,0,1,1,3
19321210,1,1,0,1,3
19321211,0,2,0,1,3
19321212,0,1,1,1,3
19321213,0,0,1,2,3
19321214,0,0,1,2,3
19321215,0,0,1,2,3
19321216,0,0,0,2,4
19321217,0,0,0,1,5
19321218,0,0,1,1,4
19321219,2,0,0,1,3
19321220,2,0,0,1,3
19321221,0,1,1,1,3
19321222,0,2,0,1,3
19321223,0,1,1,1,3
19321224,0,0,2,1,3
19321225,0,0,0,3,3
19321226,0,0,0,3,3
19321227,0,0,1,1,4
19321228,0,0,0,1,5
19321229,1,0,0,1,4
19321230,1,0,1,1,3
193311,1,1,0,1,3
193312,0,0,2,1,3
